id,title,author,pages_gt_200,pages_gt_300,pages_gt_400,pages_gt_500,pages_gt_600,year_pre1950,year_1950_1999,year_2000_2014,year_2015plus,genre_fiction,genre_nonfiction,genre_fantasy,genre_mystery,genre_children,author_russian,is_popular,part_of_series,is_bestseller
24,Shakespeare and the Middle Ages,Martha W. Driver,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25,The Cambridge Companion to Shakespeare on Film,Russell Jackson,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
26,O'Neill's Shakespeare,Normand Berlin,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,The Complete Works of William Shakespeare,William Shakespeare,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,"Mr. William Shakespeare's Comedies, Histories, Tragedies, & Sonnets",William Shakespeare,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
29,The Shakespeare Myth,Graham Holderness,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
30,Shakespeare--world Views,Heather Kerr,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,The Works of William Shakespeare,William Shakespeare,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
32,Shakespeare,Henry Norman Hudson,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
33,"Shakespeare Survey: Volume 58, Writing about Shakespeare",Peter Holland,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
34,Selling Shakespeare to Hollywood,Emma French,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,"The Rural Life of Shakespeare, as Illustrated by His Works",Charles Roach Smith,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
36,A Glossary to the Works of William Shakespeare,Alexander Dyce,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
37,The Plays of Shakespeare,H. Morley,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
38,The Works of William Shakespeare: King Henry VI,William Shakespeare,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
39,Charles Dickens and His Original Illustrators,Jane R. Cohen,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
40,The Cambridge Companion to Charles Dickens,John O. Jordan,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
41,Собрание сочинений Чарльза Диккенса,Charles Dickens,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
42,Полное собраніе сочиненій Чарльза Диккенса,Чарлз Диккенс,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
43,The Works of Charles Dickens,Charles Dickens,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
44,Works of Charles Dickens: David Copperfield,Charles Dickens,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
45,The Works of Charles Dickens: American notes and pictures from Italy,Charles Dickens,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
46,The life of Charles Dickens,John Forster,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
47,The Writings of Charles Dickens,Charles Dickens,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
48,A Cyclopedia of the Best Thoughts of Charles Dickens,Charles Dickens,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
49,"The Works of Charles Dickens ; with Introductions, General Essay, and Notes by Andrew Lang: Our mutual friend",Charles Dickens,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
50,Beauties of Dickens,Charles Dickens,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
51,Jane Austen's Possessions and Dispossessions,Sandie Byrne,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
52,Summary and Analysis of The Real Jane Austen: A Life in Small Things,Worth Books,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
53,What Jane Austen's Characters Read (and Why),Susan Allen Ford,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
54,Jane Austen's Sanditon,Arthur M. Axelrad,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
55,"Jane Austen, Obstinate Heart",Valerie Grosvenor Myer,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
56,Pride and Prejudice,Jane Austen,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
57,In the Garden with Jane Austen,Kim Wilson,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
58,The Complete Works of Jane Austen,Jane Austen,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
59,Jane Austen,Jane Austen,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
60,Jane Austen: The Complete Novels (The Giants of Literature - Book 10),Jane Austen,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True
61,"Celebrities of the century, ed. by L.C. Sanders",Celebrities,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
62,Littell's Living Age,Eliakim Littell,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
63,The Mark Twain Encyclopedia,J. R. LeMaster,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
64,Mark Twain Essays,Mark Twain,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
65,Mark Twain,Ron Chernow,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False
66,Английский с Марком Твеном. Принц и нищий. Часть 1 = Mark Twain. The Prince and the Pauper,Марк Твен,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
67,The Complete Works of Mark Twain,Mark Twain,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
68,Английский с Марком Твеном. Принц и нищий. Часть 2 = Mark Twain. The Prince and the Pauper,Марк Твен,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
69,Mark Twain and Metaphor,John Bird,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
70,Complete Letters of Mark Twain,Марк Твен,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
71,"Mark Twain's sketches, new and old. Now first published in complete form, etc",Samuel Langhorne Clemens,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
72,Mark Twain's Speeches,Марк Твен,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
73,Stepping Into Mark Twain's World,"Maloof, Torrey",False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False
74,Mark Twain's sketches,Samuel Langhorne Clemens,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
75,"Mark Twain Collection ""His Novels, Short Stories, Speeches, and Letters""",Mark Twain,True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False
76,Mark Twain,Ron Powers,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False
77,Who Is Mark Twain?,Mark Twain,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
78,The Complete Speeches & Articles of Mark Twain,Mark Twain,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
79,"The Letters Of Mark Twain, Complete",Mark Twain,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
80,"The Letters of Mark Twain, Volume 6",Mark Twain,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
81,MARK TWAIN Ultimate Collection: 370+ Titles in One Volume (Illustrated),Mark Twain,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True
82,Mark Twain's Fables of Man,Mark Twain,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
83,Оруэлл. 1945. Руины. Военные репортажи,Джордж Оруэлл,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
84,The Cambridge Companion to George Orwell,John Rodden,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
85,«1984» Джорджa Оруэллa / “1984” by George Orwell. Student’s book,Оксана Капица,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
86,Orwell and the Politics of Despair,Alok Rai,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87,"Оруэлл. Пророчества, которые сбылись",Джордж Оруэлл,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
88,George Orwell,John Rodden,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
89,Orwell On Truth,George Orwell,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
90,Джордж Оруэлл. Неприступная душа,Вячеслав Недошивин,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False
91,The Complete Works of George Orwell,George Orwell,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
92,The World of George Orwell,Miriam Gross,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
93,"History of Oswego County, New York",Crisfield Johnson,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
94,A Psychoanalytical Study of the Novels of George Orwell,Gerald Lionel Fiderer,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
95,"1984 in 1984, Orwell as Prophecy",Richard Waldron,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
96,Harry Potter,S. Gunelius,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
97,Джоан Роулинг. Неофициальная биография создательницы вселенной «Гарри Поттера»,Марина Ленти,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
98,Harry Potter,J. K. Rowling,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
99,Oracle Database 12c PL/SQL Programming,Michael McLaughlin,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
100,Some Account of the Worshipful Company of Clockmakers of the City of London,Worshipful Company of Clockmakers,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
101,Global Marketing,Warren J. Keegan,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
102,Norwalk,Charles Melbourne Selleck,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
103,Daniel Radcliffe,John Bankston,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
104,Madison Public Schools Report for ...,Madison (Wis.). Board of Education,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
105,A Game of Thrones,George R. R. Martin,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
106,Shakespeare and Game of Thrones,Jeffrey R. Wilson,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
107,Medievalism in A Song of Ice and Fire and Game of Thrones,Shiloh Carroll,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
108,"A Game of Thrones Enhanced Edition (A Song of Ice and Fire, Book 1)",George R.R. Martin,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,True,True
109,Power and Subversion in Game of Thrones,A. Keith Kelly,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
110,"Machtbeziehungen in der TV-Serie ""Game of Thrones"" vor dem Hintergrund vormoderner Machtkonzeptionen in mittelalterlicher deutscher Epik",Lara Schmidt,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
111,HBO’s Original Voices,Victoria McCollum,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False
112,Beyond Blurred Lines,Nickie D. Phillips,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
113,The Unofficial Guide to Game of Thrones,Kim Renfro,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
114,A Game of Thrones: The Graphic Novel,George R. R. Martin,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
115,"The Art of Game of Thrones, the Official Book of Design from Season 1 to Season 8",Deborah Riley,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True
116,Women in Game of Thrones,Valerie Estelle Frankel,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
117,The Little Book of Game of Thrones Facts,Fact Bomb Company Limited,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
118,The World of Ice & Fire,George R. R. Martin,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
119,The Lord of the Rings,John Ronald Reuel Tolkien,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
120,The Fellowship of the Ring,J.R.R. Tolkien,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False
121,"The Fellowship of the Ring (The Lord of the Rings, Book 1)",J. R. R. Tolkien,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
122,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
123,The Lord of the Rings,Wayne G. Hammond,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
124,Watching the Lord of the Rings,Ernest Mathijs,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
125,The Lord of the Rings and Philosophy,Gregory Bassham,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
126,The Lord of the Rings,Ernest Mathijs,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
127,The Lord of the Rings Illustrated,J. R. R. Tolkien,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,False,False
128,The Lord of the Rings,J. R. R. Tolkien,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
129,The Two Towers,J.R.R. Tolkien,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
130,The Lord of the Rings: The two towers,John Ronald Reuel Tolkien,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False
131,Understanding the Lord of the Rings,Rose A. Zimbardo,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
132,Stephen King,Stephen King,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False
133,The Stand,Stephen King,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
134,The Body,Stephen King,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
135,It,Stephen King,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False
136,Stephen King,Bev Vincent,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False
137,Stephen King,Michael Gray Baughan,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
138,Stephen King's Contemporary Classics,Philip L. Simpson,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
139,Theorizing Stephen King,Michael Blouin,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
140,Stephen King's Modern Macabre,Patrick McAleer,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
141,The Moral Voyages of Stephen King,Tony Magistrale,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
142,"Full Dark, No Stars",Stephen King,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
143,Fairy Tale,Stephen King,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
144,11/22/63,Stephen King,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
145,Ночные кошмары и фантастические видения,Стивен Кинг,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
146,Stephen King Goes to the Movies,Stephen King,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False
147,Doctor Sleep,Stephen King,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
148,A Brief Guide to Stephen King,Paul Simpson,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
149,Landscape of Fear,Tony Magistrale,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
150,The Dead Zone,Stephen King,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
151,Dan Brown Export Box Set,Dan Brown,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
152,Professional Web APIs with PHP,Paul Reinheimer,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
153,The Gospel According to Dan Brown,Jeff Dunn,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
154,The Man Behind the Da Vinci Code,Lisa Rogak,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
155,Dan Brown,Lisa Rogak,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
156,Origin,Dan Brown,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
157,Digital Telephony and Law Enforcement Access to Advanced Telecommunications Technologies and Services,United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Technology and the Law,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
158,Pomona Queen,Kem Nunn,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
159,The Solomon Key and Beyond,W. Frederick Zimmerman,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
160,Dan Brown's Road to Success,D. M. Brown,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
161,The Dan Brown Enigma,Graham Thomas,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
162,The Dan Brown Enigma,Graham A. Thomas,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
163,Twenty-First-Century Popular Fiction,Bernice M. Murphy,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
164,The Dan Brown Companion,Simon Cox,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
165,The Unauthorized Dan Brown Companion,John Helfers,True,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False
166,History of Chicago: From the fire of 1871 until 1885,Alfred Theodore Andreas,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True
167,INFERNO,DAN BROWN,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
168,James Patterson by James Patterson,James Patterson,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False
169,Private: Gold,James Patterson,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
170,Kill Me If You Can,James Patterson,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
171,Kill and Tell,James Patterson,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
172,The Dolls,James Patterson,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
173,Black Market,James Patterson,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
174,Truth Or Die,James Patterson,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
175,Heist,James Patterson,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
176,Zoo,James Patterson,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
177,The First Lady,James Patterson,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
178,The Lake House,James Patterson,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
179,The Warning,James Patterson,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
180,Steal,James Patterson,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
181,The Season of the Machete,James Patterson,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
182,Hide & Seek,James Patterson,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
183,Paranoia,James Patterson,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
184,Invisible,James Patterson,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
185,Kiss the Girls,James Patterson,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
186,1st Case,James Patterson,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
187,Agatha Christie's True Crime Inspirations,Mike Holgate,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
188,The Getaway Guide to Agatha Christie's England,Judith Hurdle,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
189,"Тайна ""Голубого поезда""",Agatha Christie,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
190,The Complete Christie,Matthew Bunson,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
191,Agatha Christie,Henry Reymond Fitzwalter Keating,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
192,The Agatha Christie Collection,Agatha Christie,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
193,The Films of Agatha Christie,Scott Palmer,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
194,"Agatha Christie, Woman of Mystery - With Audio Level 2 Oxford Bookworms Library",John Escott,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
195,Christmas With Agatha Christie,Agatha Christie,True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False
196,Agatha Christie: Inspiring Lives,Cathy Cook,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
197,British Murder Mysteries - The Agatha Christie Collection,Agatha Christie,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False
198,The Mysterious World of Agatha Christie,Jeffrey Feinman,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
199,Agatha Christie,Mary Wagoner,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
200,AGATHA CHRISTIE Premium Collection,Agatha Christie,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False
201,Cards on the Table,Agatha Christie,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
202,Agatha Christie,J.C. Bernthal,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
203,The Bloomsbury Handbook to Agatha Christie,Mary Anna Evans,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True
204,The Collected Works of Agatha Christie (Vol.1),Agatha Christie,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False
205,Библиография Средиземья. Творчество Дж. Р. Р. Толкина и его изучение в России и за рубежом. Указатель источников и литературы,Михаил Минц,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
206,"Exploring J.r.r. Tolkien's ""the Hobbit""",Corey Olsen,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
207,Tolkien's Mythology for England,Edmund Wainwright,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
208,J.R.R. Tolkien,Bodleian Library,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
209,Джон Р. Р. Толкин. Биография,Хамфри Карпентер,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
210,The Languages of Tolkien's Middle-earth,Ruth S. Noel,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
211,Толкин,Геннадий Прашкевич,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
212,Monarch Notes on Tolkien's Fellowship of the Ring,Louise D. Morrison,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
213,The Letters of J. R. R. Tolkien,J. R. R. Tolkien,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
214,Tolkien's Gown,R. A. Gekoski,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
215,Tolkien Through Russian Eyes,Mark T. Hooker,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
216,"The Lord of the Rings, 1954-2004",Wayne G. Hammond,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
217,Как Гарри заколдовал мир. Скрытые смыслы произведений Дж.К. Роулинг,Джон Грейнджер,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
